<unk>	1
khuo	1
moan	1
dooc	1
khuỳnh	1
p	1
choen	1
giec	1
nue	1
khut	1
thip	1
cheu	1
xuom	1
quỷnh	1
duenh	1
xim	1
